,UT,indirect_count,direct_count,target
228,DIIDW:2013A67524,2,2.0,2.0
229,DIIDW:2014A33151,3,2.0,2.5
230,DIIDW:2012A73557,4,3.0,3.5
231,DIIDW:2012Q02775,5,5.0,5.0
232,DIIDW:2012J05532,0,1.0,0.5
233,DIIDW:2012N69291,0,3.0,1.5
234,DIIDW:2012N55435,2,1.0,1.5
235,DIIDW:2012P15472,0,1.0,0.5
236,DIIDW:2012N55432,2,2.0,2.0
237,DIIDW:2011K81887,5,4.0,4.5
238,DIIDW:2014A04367,0,1.0,0.5
239,DIIDW:2012C47244,2,2.0,2.0
240,DIIDW:2012Q01891,2,1.0,1.5
241,DIIDW:2012N90257,2,1.0,1.5
242,DIIDW:2012N69289,1,2.0,1.5
243,DIIDW:2009E94511,0,1.0,0.5
244,DIIDW:2008G08614,0,1.0,0.5
245,DIIDW:2010C88928,6,3.0,4.5
246,DIIDW:2014F40380,0,1.0,0.5
247,DIIDW:2012G99545,0,3.0,1.5
248,DIIDW:2010P71223,1,1.0,1.0
249,DIIDW:2014C01205,0,1.0,0.5
250,DIIDW:2014D52815,0,1.0,0.5
251,DIIDW:2014L17828,2,1.0,1.5
252,DIIDW:2014K20739,7,3.0,5.0
253,DIIDW:2013Q97576,5,3.0,4.0
254,DIIDW:2012D26559,0,1.0,0.5
255,DIIDW:2013J45459,16,8.0,12.0
256,DIIDW:2010J67275,2,1.0,1.5
257,DIIDW:2010J67824,2,1.0,1.5
258,DIIDW:2010K51002,4,1.0,2.5
259,DIIDW:1996312284,0,1.0,0.5
260,DIIDW:2007624826,0,2.0,1.0
261,DIIDW:2009F21193,2,2.0,2.0
262,DIIDW:2010M42975,21,9.0,15.0
263,DIIDW:2013E51308,0,1.0,0.5
264,DIIDW:2008F66487,5,1.0,3.0
265,DIIDW:2014C80962,0,1.0,0.5
266,DIIDW:2013H03909,1,2.0,1.5
267,DIIDW:2013G84360,17,8.0,12.5
268,DIIDW:2013P83179,3,3.0,3.0
269,DIIDW:2011H38470,0,2.0,1.0
270,DIIDW:2011F85647,7,5.0,6.0
271,DIIDW:2012M80585,3,2.0,2.5
272,DIIDW:2005650169,3,2.0,2.5
273,DIIDW:2013K27540,13,6.0,9.5
274,DIIDW:2012M39212,18,7.0,12.5
275,DIIDW:2010J42488,13,3.0,8.0
276,DIIDW:2009H62558,16,2.0,9.0
277,DIIDW:2012A52388,1,3.0,2.0
278,DIIDW:2010B58871,0,1.0,0.5
279,DIIDW:2013E47496,6,2.0,4.0
280,DIIDW:2013G46432,4,2.0,3.0
281,DIIDW:2012R42988,0,1.0,0.5
282,DIIDW:2013H27199,4,1.0,2.5
283,DIIDW:2013C01787,6,9.0,7.5
284,DIIDW:2011A37300,1,1.0,1.0
285,DIIDW:2011B77341,1,2.0,1.5
286,DIIDW:2000130320,1,1.0,1.0
287,DIIDW:2003247383,1,2.0,1.5
288,DIIDW:2012C49821,0,3.0,1.5
289,DIIDW:2014N09206,3,1.0,2.0
290,DIIDW:2013V62344,10,5.0,7.5
291,DIIDW:2013V05254,13,6.0,9.5
292,DIIDW:2013L20774,0,2.0,1.0
293,DIIDW:2014M25057,2,3.0,2.5
294,DIIDW:2003141060,2,3.0,2.5
295,DIIDW:2013S55735,1,2.0,1.5
296,DIIDW:2014P25824,1,2.0,1.5
297,DIIDW:2014P25829,0,1.0,0.5
298,DIIDW:2014R15133,0,1.0,0.5
299,DIIDW:2008L68061,0,1.0,0.5
300,DIIDW:2012H60243,0,3.0,1.5
301,DIIDW:2014C65188,2,2.0,2.0
302,DIIDW:2011H78879,3,2.0,2.5
303,DIIDW:2009H62894,2,4.0,3.0
304,DIIDW:2011A71737,0,1.0,0.5
305,DIIDW:2009M79683,2,2.0,2.0
306,DIIDW:2011E05381,0,1.0,0.5
307,DIIDW:2004504694,0,2.0,1.0
308,DIIDW:2000593155,0,2.0,1.0
309,DIIDW:2014C79330,1,3.0,2.0
